project_id,title,description,operating_unit,budget,expense
126722,Strengthening Electoral Processes in Uganda,Strengthening Electoral Processes in Uganda,Uganda,1149930,574817
92555,Apoyo Programa de Pais 2016-2020,"El proyecto busca continuar apoyando, de forma estratégica, el accionar del PNUD enmarcado en su nuevo Marco de Cooperación para el Desarrollo para el próximo quinquenio.",Panama,1148207,713476
48521,UNITE D'APPUI AU PROGRAMME GOUVERNANCE,Unité d'Appui à la Gestion du Programme de Gouvernance pour assurer un appui consistant à la gestion et coordination du programme Gouvenance,Democratic Republic of Congo,1148103,960459
86017,Micronesia Ridge to Reef,"Implementing an integrated “Ridge to Reef” approach to enhance ecosystem services, to conserve globally important biodiversity and to sustain local livelihoods in the FSM",Fiji,1147757,581628
98619,"Fortalecimiento Institucional del Ministerio de Educación y Ciencia, para la implementación de sus proyectos y programas.","Fortalecimiento Institucional del Ministerio de Educación y Ciencia, para la implementación de sus proyectos y programas.",Paraguay,1145753,342297
117730,Appui au programme,Appui à la mise en œuvre du DPC pour les projets mis en œuvre par le Bureau pays  dans le cadre du cycle de programmation 2017-2020.,Côte d’Ivoire,1142716,1118679
79493,Adaptation des écosystèmes,Adaptation des moyens d’existence dépendant des écosystèmes : (Boucle du Mouhoun et Mare d’Oursi),Burkina Faso,1138655,947763
62481,MABE - Conversión HCFC-141b en refrigeradores,MABE - Conversión de  HCFC-141b en la manufactura de espumas aislantes de polituretano rígido en refrigeradores domésticos.,Mexico,1138173,1063565
126170,Access to Clean and Renewable Energy,"The goal of the ACRE Project is to increase access to clean, affordable, reliable, and modern energy by enhancing the sustainability, efficiency and cost-effectiveness of energy technologies",Malawi,1137500,522960
78764,Climate Risk Finance for Sustainable & Climate Resilient,Climate Risk Finance for Sustainable & Climate Resilient for sustainable agricultural and  pastoral system in Sudan,"Sudan, Republic of the",1137137,796978
86259,Environmental Governance for Sustainable Natural R. Mgmt,Environmental Governance for Sustainable Natural Resource Management.  The project aims to prevent and mitigate adverse environmental and social consequences of mining though applying Human Rights and Rule of Law principles.,Bureau Policy & Prog Support,1135997,347464
128124,PIMS 5853 Buidling Climate Resilience of Vulnerable,Building Climate Resilience of Vulnerable Agricultural Livelihoods in Southern Zimbabwe,Zimbabwe,1135343,0
108261,Gestion et amélioration Ecosystème éléphants du Gourma,"Gestion communautaire des ressources naturelles qui résout les conflits, améliore les moyens de subsistance et restaure les écosystèmes dans l'ensemble de l'aire de répartition des éléphants",Mali,1134737,43374
109930,Consolidating Democratic Governance for Development in T,The overall aim of this project is:to strengthen the democratic character of The Gambia’s political processes,Gambia,1134390,209376
126791,Recuperacion COVID-19,Respuesta a la emergencia y recuperación COVID-19 en la República Dominicana,Dominican Republic,1132971,927685
125588,UNDP Global Digital Transformation,UNDP Global Digital Transformation Project,Office of the Administrator,1131429,183951
84302,Fortalecimiento en gestion basada resultados Cancilleria,“Fortalecimiento institucional para la gestión basada en resultados del Ministerio de Relaciones Exteriores de la República de Panamá”,Panama,1131169,487822
97611,BRA/16/008 - Fortalecimento em Novas Estratégias de Negócios,"The Project objective is to strengthen the capacities of TERRACAP, especially DIPRE",Brazil,1129922,211685
109958,Cero Feminicidio,Reduction of feminicide violence in El Salvador to achieve a significant reduction of chronic violence in the country by 2022.,El Salvador,1126511,588151
79041,Ukraine's modernization and innovation results,The programme was developed to meet the Ukrainian Government and civil society demand at the national and sub-national levels for relevant expertize to strengthen Ukraine's emerging modernization and innovation results,Ukraine,1118631,645190
98348,De-risking Investment in Energy Efficient Retrofits,"Using an integrated suite of de-risking interventions, the Project seeks to systematically de-carbonise the existing building stock in Armenia to reduce greenhouse gas (GHG) emissions while achieving sustainable development benefits.",Armenia,1118630,477030
97704,Moldova Sustainable Green Cities,"Objective is to catalyze investments in low carbon green urban development by an integrated urban planning approach and by encouraging innovation, participatory planning and partnerships among and between a variety of public and private sector entities.","Moldova, Republic of",1115959,273024
96842,Human Rights for Ukraine (HR4U),"Human Rights for Ukraine 2019-2023. Promoting ongoing processes of democratization, focusing on human rights and access to justice for all.",Ukraine,1115906,541896
96684,Low Carbon Urban Development,"Catalyzing Environmental Finance for Low-Carbon Urban Development thereby promoting safer, cleaner, and healthier cities and reducing urban GHG emissions",Bosnia and Herzegovina,1114960,307944
44878,PAL/ Seeds for Development Strategy Formulated for PAPP,Seeds for Development Strategy Formulated for PAPP. This project is a management support project to the Programme; it works on strengthening the capacities of the projects from the financial and managerial aspects.,Prog for Palestinian People,1112964,364869
87577,Support to Employment Generation,"This project, through the construction of Industrial hangars in the Jericho Agro Industrial Park, is a second phase of ongoing support under the Supplementary Budget support from Japan for the Fiscal Year 2013.",Prog for Palestinian People,1112592,631695
114395,Appui multisectoriel aux communautés les plus vulnérables  - DRC-FH/ST1-NGO's juillet 2018,"Première Allocation Standard "" CRIO Kasaï et CRIO Sud-Est "" - juillet 2018 en république démocratique du Congo",Democratic Republic of Congo,1112428,765861
61637,Phase-out of HydroChloroFluoroCarbons in Egypt Foam Sect,"IMPACT OF THE PROJECT ON COUNTRY’S MONTREAL PROTOCOL OBLIGATIONS:This project eliminates 37, 4 t ODP (340 t HCFC-141b) which will contribute to Egypt’s efforts to fulfill its commitments under the Montreal Protocol and its amendments.",Egypt,1108921,259787
99048,COD-Fonds de Cohérence pour la Stabilisation/MA,Fonds de cohérence. Le PNUD est l'agence principale de  gestion du Fonds de Cohérence pour la Stabilisation en RDC,Democratic Republic of Congo,1108390,710069
123247,Resilient Recovery Programme - Bahamas,"The project will also focus on environment restoration through debris and waste management, livelihoods based on short-term interventions, and housing sector rehabilitation underpinned by risk informed and resilient reconstruction.",Jamaica,1105999,613988
95387,Resilience oriented information systems for improved decision making. (Programa de Sistemas de información para la Resiliencia en Seguridad Alimentaria y Nutricional de la region del SICA-PROGRESAN-SICA).,Resilience oriented information systems for improved decision making. (Programa de Sistemas de información para la Resiliencia en Seguridad Alimentaria y Nutricional de la region del SICA-PROGRESAN-SICA).,Panama Regional Center,1104129,586237
92295,PIMS:5176-ADAPTATION BASEE-ÉCOSYSTÈMES (AbE) Haute Guin,"PROJET D’ADAPTATION BASÉE SUR LES ÉCOSYSTÈMES
(AbE) VISANT LES COMMUNAUTÉS VULNÉRABLES DE LA
RÉGION DE LA HAUTE-GUINÉE",Guinea,1103883,763131
106305,Livelihoods of Drought affected HHs,SUPPORT TO LIVELIHOODS OF DROUGHT AFFECTED HOUSEHOLDS AND RESILIENCE BUILDING OF VULNERABLE GROUPS IN WARDER AND KEBREDAHAR WOREDAS OF ETHIOPIA’S SOMALI REGION,Ethiopia,1102634,668056
44296,"Fondo Mundial para apoyo a los países en el alivio de las enfermedades Malaria, Tuberculosis y VIH-SIDA","Fondo Mundial para apoyo a los países en el alivio de las enfermedades Malaria, Tuberculosis y VIH-SIDA",Bolivia,1100786,1475263
89904,Sustainable Energy Financing Mechanism for Solar PV,This project will assist Turkey with the promotion and financing of on-grid village cooperative solar PV (Photo Voltag) in forest villages.,Turkey,1100397,657798
64106,Development Effectiveness Activities,This is a Management Project designed with the aim of ensuring Development Effectiveness.,Kenya,1100000,1133456
127446,Plan for Reconstruction and Development NOSO,The Presidential Plan for Reconstruction and Development (PPRD) is a component of the National Development Strategy (NDS) that was articulated to reduce the effects of the crisis on populations of the NW/SW and to catch up with the rest of country.,"Cameroon, Republic of",1100000,150357
125338,Stabilization and Recovery,"Stabilization and Recovery of Communities affected by Violent Extremism, Conflict and Disasters in Kenya",Kenya,1098632,448658
125830,Consolidation de l'autonomisation des femmes et des fill,Ce projet a pour objectif global la réduction de la disparité de genre à travers le soutien à la mise en œuvre des politiques du Ministère de la Femme et de la Famille (MFF) en matière d’intégration du genre.,Djibouti,1096798,98706
